Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,,,,
"Table A-2.
Households by Total Money Income, Race, and Hispanic Origin of Householder: 1967 to 2022",,,,,,,,,,,,,,,
"(Income in 2022 dollars, adjusted using the C-CPI-U (2000-2022) and R-CPI-U-RS (pre-2000). Households as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>)",,,,,,,,,,,,,,,
2005,"14,000",100,18.3,12.3,11.0,13.0,17.7,10.2,10.7,3.9,2.9,"44,480",714,"61,200","1,093"
2004 8,"13,810",100,18.5,11.2,11.2,14.7,16.9,10.4,10.7,3.5,2.7,"44,640",764,"60,270","1,074"
2003,"13,630",100,17.5,12.9,10.4,14.0,16.5,11.0,10.8,4.2,2.7,"45,070",965,"61,020","1,075"
2002,"13,470",100,17.3,12.9,10.3,14.5,17.2,10.0,10.9,4.0,3.0,"45,050",998,"62,100","1,180"
BLACK 26,,,,,,,,,,,,,,,
2001,"13,320",100,16.9,11.6,10.9,14.0,17.0,11.6,11.6,3.9,2.5,"46,310",897,"61,680","1,070"
2000 9,"13,170",100,16.1,11.2,10.9,14.6,17.5,11.8,10.8,4.5,2.7,"47,670","1,039","62,950","1,049"
1999 10,"12,840",100,16.9,12.1,10.5,14.3,16.3,10.9,11.0,4.7,3.4,"46,390","1,422","63,930","1,509"
1998,"12,580",100,19.0,12.6,11.1,13.5,16.7,10.4,10.6,3.8,2.3,"43,010","1,108","57,920","1,273"
1997,"12,470",100,18.5,12.6,11.4,13.9,17.0,11.3,10.3,3.1,1.9,"43,080","1,219","56,690","1,338"
1996,"12,110",100,19.2,14.2,10.3,14.4,17.0,10.0,10.0,3.0,2.0,"41,250","1,335","57,020","1,832"
1995 11,"11,580",100,19.7,13.6,11.0,14.0,17.2,10.6,9.7,2.7,1.5,"40,380","1,133","54,810","1,542"
1994 12,"11,660",100,21.8,13.2,11.6,14.0,14.9,9.9,9.7,3.1,1.8,"38,810","1,187","54,000","1,275"
1993 13,"11,280",100,22.8,14.8,11.0,14.3,15.2,9.4,8.2,2.9,1.5,"36,840","1,198","51,360","1,402"
1992 14,"11,270",100,24.2,14.1,11.0,13.4,15.5,9.8,8.3,2.4,1.3,"36,250","1,218","49,190","1,097"
1991,"11,080",100,23.7,13.5,10.6,13.7,16.2,10.4,8.1,2.5,1.2,"37,270","1,288","49,630","1,066"
1990,"10,670",100,23.0,14.1,10.2,13.4,16.6,10.1,8.5,3.0,1.2,"38,360","1,439","50,970","1,132"
1989,"10,490",100,22.1,13.2,11.4,13.7,16.0,10.2,9.3,2.7,1.3,"38,950","1,304","51,680","1,155"
1988,"10,560",100,23.3,14.6,10.4,13.7,15.1,9.8,9.4,2.1,1.6,"36,890","1,265","50,540","1,213"
1987 15,"10,190",100,23.7,13.9,11.5,14.0,15.8,9.4,8.0,2.4,1.3,"36,540","1,151","49,340","1,116"
1986,"9,922",100,24.0,13.7,11.2,13.7,16.0,10.1,7.9,2.4,1.0,"36,350","1,174","48,770","1,090"
1985 16,"9,797",100,23.2,14.2,11.6,15.0,16.0,9.5,8.0,1.8,0.8,"36,310","1,161","47,370","1,012"
1984 17,"9,480",100,23.0,15.4,13.1,14.2,15.5,8.5,7.7,1.9,0.6,"34,130","1,079","45,510",921
1983,"9,236",100,24.6,15.6,12.2,14.2,15.5,8.9,7.0,1.6,0.3,"32,800","1,012","43,630",886
1982,"8,916",100,24.2,15.3,13.2,13.4,17.1,9.1,6.0,1.2,0.4,"32,910",869,"43,300",891
1981,"8,961",100,24.2,15.8,12.8,13.9,15.5,9.2,7.1,1.2,0.2,"32,980",912,"43,330",864
1980,"8,847",100,22.8,15.9,12.7,13.9,16.9,9.4,6.7,1.5,0.4,"34,390","1,067","44,630",904
1979 18,"8,586",100,21.7,15.5,11.8,15.5,16.4,9.9,7.5,1.4,0.4,"35,950","1,080","46,130",934
1978,"8,066",100,21.3,15.3,12.3,14.1,17.9,9.2,8.0,1.4,0.4,"36,550","1,271","46,710","1,003"
1977,"7,977",100,21.0,16.5,13.1,15.7,16.3,9.3,6.6,1.0,0.4,"34,950",771,"44,780",655
1976 19,"7,776",100,20.7,16.7,12.9,14.6,17.4,9.9,6.3,1.0,0.4,"34,910",712,"44,600",654
1975 20,"7,489",100,21.6,16.9,11.9,15.8,17.7,9.3,5.6,0.9,0.3,"34,590",837,"43,180",630
"1974 20, 21","7,263",100,20.3,16.2,13.5,15.7,17.9,8.9,6.4,0.8,0.3,"35,230",699,"43,810",641
1973,"7,040",100,19.3,16.7,13.1,15.0,18.2,10.2,5.9,1.2,0.5,"36,030",923,"44,740",731
1972 22,"6,809",100,21.2,16.0,12.9,15.7,17.1,9.9,5.7,1.0,0.6,"35,010",863,"44,220",776
1971 23,"6,578",100,22.5,15.3,13.6,16.9,17.3,8.1,5.4,0.7,0.3,"33,990",832,"42,110",712
1970,"6,180",100,22.2,14.7,13.6,16.0,18.0,8.8,5.5,0.9,0.3,"35,180",794,"42,950",763
1969,"6,053",100,22.0,14.9,14.0,17.5,17.4,8.4,4.9,0.7,0.2,"35,260",855,"41,970",734
1968,"5,870",100,22.5,16.1,15.2,15.9,17.3,8.1,4.2,0.6,0.2,"33,020",788,"40,210",697
1967 24,"5,728",100,24.4,17.1,13.3,17.8,16.0,6.9,3.2,0.8,0.4,"31,230",855,"37,520",689
ASIAN ALONE OR IN COMBINATION,,,,,,,,,,,,,,,
2022,"8,160",100,7.2,4.7,4.5,7.0,12.1,10.2,18.9,12.5,22.8,"109,400","3,783","147,700","4,754"
2021,"7,852",100,7.3,5.2,5.5,5.8,12.8,10.8,17.0,12.0,23.7,"109,000","2,920","148,600","5,248"
2020 2,"7,555",100,6.3,5.6,4.6,7.1,13.1,10.3,16.6,12.0,24.4,"107,100","4,009","149,000","4,768"
2019,"7,334",100,5.6,4.3,5.0,6.8,12.7,10.8,19.1,12.8,22.9,"110,700","3,128","149,900","4,947"
2018,"7,416",100,7.4,5.5,5.6,7.5,12.5,11.5,17.9,11.7,20.5,"100,300","2,810","137,400","4,078"
2017 3,"7,124",100,7.5,5.2,5.2,8.5,13.5,12.1,16.8,11.8,19.3,"95,520","2,136","134,300","4,944"
2017,"7,114",100,7.9,5.4,5.0,8.3,13.1,12.5,16.5,11.4,20.0,"95,460","2,235","134,100","4,669"
2016,"6,750",100,7.8,4.9,5.5,7.9,12.9,12.6,17.5,12.4,18.4,"96,980","2,232","128,200","3,498"
2015,"6,640",100,8.4,6.1,4.9,8.7,13.9,11.4,17.7,11.2,17.8,"92,920","2,786","127,300","4,379"
2014,"6,333",100,8.6,5.3,6.2,9.5,12.9,12.4,17.7,12.4,15.0,"90,510","3,942","118,700","3,834"
2013 4,"6,160",100,9.0,6.2,4.9,8.4,14.8,11.5,18.3,11.0,15.8,"88,910","6,442","124,000","8,524"
2013 5,"6,111",100,9.3,5.4,7.1,9.2,15.3,12.7,17.1,10.3,13.6,"82,640","3,677","112,000","4,571"
2012,"5,872",100,8.7,5.6,6.1,9.7,15.3,12.7,17.1,10.8,14.0,"84,660","3,548","113,900","3,869"
2011,"5,705",100,8.4,6.5,7.0,9.9,14.1,12.9,18.6,10.6,12.0,"82,260","3,256","108,600","4,274"
2010 6,"5,550",100,8.2,6.4,7.5,8.5,14.8,13.0,17.1,11.1,13.5,"82,900","3,145","109,200","3,452"
2009 7,"4,940",100,9.0,5.8,6.8,8.9,13.9,12.2,18.1,10.2,15.1,"86,080","3,123","119,200","3,852"
2008,"4,805",100,8.4,6.1,7.3,8.8,14.4,11.5,18.0,12.1,13.5,"86,390","3,062","113,700","3,223"
2007,"4,715",100,7.8,5.9,6.4,8.1,13.5,13.0,19.9,11.1,14.2,"89,980","3,114","115,500","3,249"
2006,"4,664",100,7.0,5.6,5.2,9.8,15.1,12.0,18.4,12.0,14.8,"89,520","3,726","122,600","4,222"
2005,"4,500",100,8.3,5.9,6.0,7.6,15.5,12.6,19.6,10.3,14.3,"88,000","1,729","115,300","3,310"
2004 8,"4,346",100,7.7,6.4,5.4,9.3,15.7,13.6,18.5,10.5,12.9,"85,210","2,825","112,900","3,506"
2003,"4,235",100,10.5,7.0,6.1,7.1,14.9,12.7,18.4,11.2,12.2,"84,020","3,081","105,500","2,986"
2002,"4,079",100,8.0,5.9,6.7,10.3,15.0,13.7,17.5,11.3,11.6,"81,150","2,020","107,800","3,373"
ASIAN ALONE 28,,,,,,,,,,,,,,,
2022,"7,609",100,7.5,4.7,4.5,6.9,12.0,10.4,18.6,12.4,23.1,"108,700","3,886","147,700","4,949"
2021,"7,276",100,7.3,5.4,5.6,5.8,12.5,10.4,16.8,12.0,24.2,"109,400","3,092","149,800","5,547"
2020 2,"7,002",100,6.3,5.7,4.6,7.2,13.1,10.1,16.4,12.3,24.3,"107,300","4,289","148,100","4,630"
2019,"6,853",100,5.7,4.3,4.9,7.0,12.3,10.4,19.4,12.7,23.4,"111,800","3,495","151,600","5,057"
2018,"6,981",100,7.5,5.4,5.6,7.5,12.5,11.2,17.8,11.9,20.6,"100,800","3,242","138,500","4,299"
2017 3,"6,750",100,7.4,5.3,5.0,8.4,13.6,12.0,17.0,11.9,19.4,"95,970","2,097","134,900","5,107"
2017,"6,735",100,7.9,5.5,4.8,8.1,13.0,12.5,16.6,11.4,20.1,"95,900","2,314","134,500","4,764"
2016,"6,392",100,7.8,4.8,5.4,8.0,12.7,12.5,17.7,12.3,18.9,"97,710","2,299","129,600","3,592"
2015,"6,328",100,8.3,5.9,4.8,8.6,13.8,11.5,17.9,11.2,17.9,"93,410","3,379","127,600","4,435"
2014,"6,040",100,8.8,5.4,6.2,9.5,12.7,12.4,17.4,12.4,15.1,"89,870","4,192","118,000","3,820"
2013 4,"5,818",100,9.1,6.3,4.9,8.0,15.1,11.7,17.9,10.9,16.1,"88,800","6,785","124,200","9,013"
2013 5,"5,759",100,9.4,5.5,7.2,9.3,15.1,12.8,16.8,10.5,13.5,"82,280","3,471","111,300","4,654"
2012,"5,560",100,8.7,5.6,6.1,9.6,14.9,12.8,17.3,10.9,13.9,"85,220","3,860","113,500","3,750"
2011,"5,374",100,8.3,6.4,7.1,10.0,14.0,13.0,18.7,10.7,11.8,"82,430","3,262","108,400","4,316"
2010 6,"5,212",100,8.4,6.3,7.4,8.5,14.2,12.9,17.1,11.3,13.8,"83,850","3,381","110,400","3,641"
2009 7,"4,687",100,9.0,5.8,6.7,8.8,13.6,12.4,18.0,10.5,15.1,"86,610","2,757","120,100","4,015"
2008,"4,573",100,8.6,6.1,7.3,8.7,14.5,11.3,17.9,12.1,13.6,"86,480","3,004","113,600","3,257"
2007,"4,494",100,7.7,6.0,6.4,8.0,13.5,12.8,20.1,11.2,14.3,"90,290","3,112","116,100","3,370"
2006,"4,454",100,7.0,5.8,5.3,9.8,14.7,12.0,18.4,11.7,15.2,"89,990","3,858","123,700","4,378"
2005,"4,273",100,8.3,6.1,6.0,7.5,15.2,12.7,19.4,10.3,14.4,"88,070","1,688","115,500","3,351"
2004 8,"4,123",100,7.7,6.4,5.5,9.2,15.6,13.6,18.4,10.5,13.2,"85,290","2,982","113,500","3,611"
2003,"4,040",100,10.6,7.0,6.0,6.9,14.7,12.8,18.3,11.3,12.5,"84,690","2,736","106,400","3,099"
2002,"3,917",100,7.8,5.9,6.7,10.4,14.9,13.6,17.5,11.3,11.8,"81,680","2,351","108,700","3,488"
ASIAN AND PACIFIC ISLANDER 26,,,,,,,,,,,,,,,
2001,"4,071",100,7.7,6.0,6.3,9.8,14.9,13.9,18.0,10.8,12.6,"84,280","3,309","115,000","4,464"
2000 9,"3,963",100,6.8,6.0,5.2,9.9,15.1,12.2,20.4,10.2,14.2,"89,590","2,514","117,000","3,994"
1999 10,"3,742",100,7.9,6.7,5.6,9.3,16.0,12.6,17.7,9.5,14.6,"84,710","4,911","112,000","4,670"
1998,"3,308",100,8.3,6.2,6.9,9.7,16.4,12.6,19.6,10.7,9.7,"79,130","3,623","102,200","4,854"
1997,"3,125",100,8.5,7.4,6.4,9.2,16.6,13.7,18.3,10.5,9.4,"77,820","3,559","101,300","5,163"
1996,"2,998",100,9.6,6.8,6.1,9.9,17.3,12.6,19.2,10.3,8.3,"76,020","4,482","99,340","5,860"
1995 11,"2,777",100,8.9,8.0,7.9,8.9,17.7,14.5,18.2,7.6,8.4,"73,230","3,022","99,580","6,608"
1994 12,"2,040",100,9.1,7.9,6.6,9.7,17.3,13.8,18.6,8.1,8.9,"74,720","4,658","97,020","5,687"
1993 13,"2,233",100,10.6,8.1,7.5,10.5,14.9,12.4,19.4,9.2,7.5,"72,330","5,851","94,760","6,277"
1992 14,"2,262",100,8.7,7.7,8.6,9.2,17.5,14.8,17.8,8.4,7.3,"73,060","3,469","90,550","4,095"
1991,"2,094",100,9.2,6.9,6.5,12.3,16.7,13.8,17.8,8.9,7.8,"72,240","3,834","91,720","4,447"
1990,"1,958",100,7.5,7.8,6.3,8.9,16.4,16.2,19.1,9.5,8.2,"78,970","3,848","95,330","4,440"
1989,"1,988",100,6.2,8.3,6.4,9.9,17.2,14.3,20.1,9.3,8.4,"77,760","3,458","96,660","4,627"
1988,"1,913",100,7.5,8.4,7.6,10.2,17.6,14.4,17.3,9.0,8.0,"72,550","4,904","90,700","4,457"
1987 15,N,100,9.3,8.6,8.8,9.2,14.2,15.0,18.1,9.7,7.1,"75,130","4,595",N,N
AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION,,,,,,,,,,,,,,,
2022,"2,464",100,11.9,9.7,8.3,14.2,17.6,14.1,13.4,5.3,5.5,"58,060","3,936","76,390","4,274"
2021,"2,475",100,15.0,9.4,9.1,12.0,17.0,10.8,14.2,5.6,6.8,"55,300","1,517","78,900","5,245"
2020 2,"2,333",100,9.9,11.8,8.9,12.0,16.5,14.2,13.4,6.6,6.6,"61,020","4,105","83,650","5,340"
2019,"2,350",100,11.7,9.7,8.9,13.4,16.5,12.6,14.8,6.0,6.5,"58,090","2,302","79,230","4,438"
2018,"2,481",100,13.1,11.5,9.3,13.0,17.8,12.0,12.4,6.2,4.8,"54,630","4,066","73,760","3,911"
2017 3,"2,514",100,13.8,10.9,10.0,14.0,16.4,11.7,12.2,4.2,6.7,"52,560","5,054","75,220","4,167"
2017,"2,510",100,13.7,11.4,9.0,14.4,15.2,12.9,12.6,5.1,5.8,"53,070","4,633","74,510","3,935"
2016,"2,443",100,13.9,10.5,9.5,14.9,17.7,10.5,11.7,5.2,6.1,"51,050","3,072","77,490","5,260"
2015,"2,436",100,15.2,11.6,8.5,14.0,17.2,11.6,11.7,6.2,4.2,"51,780","4,284","71,580","4,320"
2014,"2,247",100,14.7,11.6,10.9,12.6,17.2,11.0,12.9,4.9,4.2,"50,640","2,785","68,980","2,989"
2013 4,"2,041",100,17.0,13.3,9.5,11.8,13.9,12.3,11.4,5.2,5.6,"48,790","6,870","76,150","12,440"
2013 5,"2,119",100,14.5,12.1,11.4,15.5,17.2,11.5,10.7,4.1,3.0,"45,950","2,987","62,330","4,018"
2012,"2,233",100,16.7,12.7,11.0,14.7,17.0,10.0,10.4,4.4,3.1,"45,520","2,217","62,230","3,202"
2011,"2,162",100,14.2,12.0,12.4,14.6,17.5,11.0,10.4,4.1,3.8,"46,460","2,943","64,940","3,194"
2010 6,"2,040",100,15.5,12.6,10.2,13.0,16.7,10.7,12.0,6.3,3.0,"48,490","4,790","65,150","3,571"
2009 7,"1,820",100,13.9,11.1,11.6,14.0,16.8,12.2,11.3,5.3,3.8,"49,100","2,816","69,600","3,519"
2008,"1,932",100,13.3,9.2,10.9,15.1,16.6,13.4,12.7,5.2,3.6,"52,260","3,117","71,050","4,198"
2007,"1,919",100,13.8,11.1,9.9,13.4,17.4,12.3,13.1,5.3,3.8,"52,270","2,678","69,760","3,293"
2006,"1,848",100,12.9,11.8,10.6,14.3,18.5,9.7,11.9,5.5,4.8,"50,890","2,650","70,110","3,474"
2005,"1,873",100,15.0,9.9,10.1,13.1,16.9,12.0,13.8,4.9,4.2,"52,200","2,878","70,740","3,132"
2004 8,"1,894",100,11.9,10.4,9.8,15.3,17.2,12.2,13.6,4.7,4.8,"53,330","3,243","75,720","5,210"
2003,"1,752",100,11.6,12.6,10.3,12.1,16.5,12.7,14.3,5.3,4.6,"54,850",N,"73,310",N
2002,"1,651",100,12.9,10.8,9.3,14.4,20.3,10.9,12.5,5.4,3.6,"52,810",N,"71,070",N
AMERICAN INDIAN AND ALASKA NATIVE ALONE 29,,,,,,,,,,,,,,,
2022,"1,371",100,12.5,10.0,10.2,14.3,17.7,13.2,11.0,5.4,5.6,"52,810","4,972","75,220","6,040"
2021,"1,430",100,14.4,10.0,9.2,12.2,17.7,11.2,12.3,6.0,7.0,"55,100","2,730","78,820","8,332"
2020 2,"1,377",100,10.9,12.7,9.6,13.7,16.5,12.7,12.0,4.7,7.0,"55,090","5,067","78,370","6,565"
2019,"1,329",100,13.5,8.9,8.7,14.4,16.3,12.5,15.3,5.3,5.2,"56,250","4,406","75,210","5,215"
2018,"1,331",100,13.9,12.1,9.4,13.7,18.1,10.9,12.0,5.6,4.1,"50,600","5,410","71,190","5,291"
2017 3,"1,327",100,16.8,11.0,10.9,14.0,16.3,10.7,9.8,4.0,6.4,"45,290","5,728","71,280","6,197"
2017,"1,326",100,16.5,12.4,8.6,13.9,15.6,11.6,10.4,5.4,5.6,"48,600","4,947","72,960","6,508"
2016,"1,314",100,14.8,11.3,8.9,15.5,18.1,9.6,12.0,4.5,5.4,"50,010","2,824","75,990","8,233"
2015,"1,417",100,16.7,11.2,8.6,14.5,16.6,12.3,10.1,5.6,4.3,"48,330","5,101","67,770","4,313"
2014,"1,264",100,15.7,10.1,11.4,13.2,16.5,11.8,13.4,4.2,3.8,"50,210","3,413","68,260","3,850"
2013 4,"1,045",100,18.4,14.7,9.4,15.0,10.2,13.6,10.9,3.9,3.8,"42,150","7,974","60,660","7,189"
2013 5,"1,108",100,15.1,14.6,11.1,15.9,18.9,9.5,10.2,2.1,2.6,"43,640","3,351","56,860","4,184"
2012,"1,196",100,20.5,12.2,10.4,15.6,16.6,9.5,9.2,3.7,2.3,"42,690","3,754","58,680","5,031"
2011,"1,108",100,16.0,14.0,12.3,14.7,17.1,10.0,8.9,3.8,3.4,"41,290","3,822","59,440","4,491"
2010 6,"1,036",100,17.1,14.7,10.2,13.4,14.5,11.8,11.1,4.5,2.7,"41,780","4,910","59,380","4,972"
2009 7,907,100,15.5,12.9,10.6,14.9,16.3,12.3,10.8,4.0,2.8,"45,630","2,457","63,430","4,680"
2008,977,100,15.1,10.6,11.9,15.6,15.6,12.6,12.5,3.3,2.8,"46,460","3,703","66,140","6,958"
2007,943,100,16.9,9.8,11.0,14.0,19.5,11.4,11.4,3.7,2.4,"48,690","3,812","62,460","4,638"
2006,888,100,15.7,13.3,11.4,15.1,19.3,8.0,9.4,3.7,4.1,"45,160","3,057","62,400","4,941"
2005,817,100,17.7,11.1,9.0,12.8,17.1,11.9,12.2,4.6,3.5,"48,890","4,616","65,820","4,483"
2004 8,824,100,15.1,10.9,11.8,15.7,17.1,8.9,12.3,4.7,3.5,"46,990","3,317","65,980","6,073"
2003,754,100,15.4,12.8,10.8,11.5,15.4,10.0,12.6,6.5,5.0,"49,040",N,"70,560",N
2002,764,100,13.4,10.7,8.5,16.7,21.3,9.1,13.3,5.0,1.9,"50,800",N,"63,450",N
AMERICAN INDIAN AND ALASKA NATIVE 26,,,,,,,,,,,,,,,
2001,"1,229",100,13.8,10.3,10.0,15.8,18.4,10.4,13.8,3.4,3.9,"50,420",N,"69,290",N
2000 9,"1,041",100,14.0,12.8,9.9,13.6,17.6,12.4,12.4,4.5,2.7,"50,340",N,"66,650",N
1999 10,961,100,15.9,12.9,11.8,9.5,18.5,13.8,10.0,5.0,2.6,"50,180",N,"64,540",N
1998,775,100,12.3,11.9,8.6,13.2,18.3,15.9,12.3,4.9,2.7,"53,490",N,"66,290",N
1997,823,100,12.8,13.6,10.8,14.6,17.6,12.3,10.9,4.6,2.8,"48,640",N,"63,750",N
1996,851,100,18.7,12.9,10.0,18.1,11.7,11.2,12.6,2.1,2.7,"41,680",N,"62,460",N
1995 11,763,100,16.2,15.8,12.9,13.3,17.6,8.4,11.7,3.3,0.8,"39,050",N,"53,370",N
1994 12,547,100,15.9,12.1,9.1,13.8,18.9,14.1,9.8,4.6,1.8,"48,480",N,"60,230",N
1993 13,614,100,15.4,13.3,10.8,14.9,20.4,12.3,7.2,3.9,1.8,"45,810",N,"56,230",N
1992 14,752,100,16.9,12.5,11.7,15.4,18.1,10.3,10.5,3.5,1.0,"43,770",N,"55,270",N
1991,608,100,15.8,10.4,12.2,14.5,19.1,11.0,13.2,3.1,0.6,"47,590",N,"57,530",N
1990,530,100,16.6,11.3,11.0,12.3,22.2,12.5,8.8,3.5,1.8,"47,210",N,"57,960",N
1989,511,100,18.6,19.1,10.4,11.8,17.8,9.4,9.7,2.1,1.0,"37,340",N,"50,770",N
1988,469,100,15.5,18.6,11.9,16.2,16.2,10.4,7.7,3.3,0.2,"37,100",N,"49,810",N
1987 15,469,100,19.8,14.5,11.2,14.8,17.9,10.3,7.6,2.5,1.4,"39,920",N,"51,010",N
TWO OR MORE RACES,,,,,,,,,,,,,,,
2022,"2,482",100,9.5,7.7,6.6,12.5,17.9,14.3,14.5,7.6,9.5,"69,470","4,074","97,870","7,154"
2021,"2,330",100,10.8,6.9,8.7,10.5,16.1,11.2,17.7,8.4,9.7,"69,000","5,412","97,540","5,687"
2020 2,"2,242",100,9.1,7.8,7.3,9.2,14.2,14.7,17.7,7.9,12.2,"78,380","3,633","114,300","8,635"
2019,"2,269",100,7.7,8.3,9.6,10.8,17.1,12.6,12.8,9.6,11.4,"70,110","3,711","100,500","6,300"
2018,"2,207",100,9.6,9.7,9.7,10.8,16.9,13.2,14.6,6.9,8.5,"64,230","4,131","90,680","6,340"
2017 3,"2,086",100,10.2,8.4,9.6,13.2,16.5,12.9,13.9,6.1,9.1,"62,850","4,533","88,710","5,072"
2017,"2,094",100,9.7,7.9,9.5,14.8,15.0,13.3,15.2,6.2,8.5,"63,610","5,302","88,750","5,045"
2016,"2,015",100,9.8,9.5,9.0,12.0,18.8,12.4,12.7,8.0,7.7,"61,730","2,927","88,010","5,572"
2015,"1,870",100,13.0,10.4,7.9,12.3,18.7,10.6,12.7,7.4,7.0,"60,050","3,473","85,690","7,408"
2014,"1,793",100,12.0,11.1,9.5,12.7,16.8,11.0,14.0,6.7,6.2,"56,380","3,074","81,580","5,397"
2013 4,"1,843",100,10.6,9.8,9.6,10.3,19.7,9.8,14.6,8.1,7.4,"59,430","6,959","101,300","19,020"
2013 5,"1,860",100,12.9,8.9,10.4,13.6,16.6,11.9,13.5,6.0,6.3,"56,370","3,196","78,910","5,431"
2012,"1,776",100,13.2,10.5,10.3,11.8,18.3,10.7,12.7,6.3,6.2,"55,020","2,853","77,230","5,062"
2011,"1,764",100,12.2,9.5,11.2,13.3,17.1,11.5,13.3,5.4,6.4,"55,400","5,019","78,180","4,497"
2010 6,"1,810",100,13.0,10.1,9.6,12.5,18.3,10.4,13.5,7.2,5.4,"54,580","2,432","77,710","4,855"
2009 7,"1,484",100,12.8,8.7,10.8,12.5,17.1,12.4,12.5,6.2,7.0,"55,740","2,503","79,990","4,074"
2008,"1,465",100,11.3,8.1,9.4,13.6,17.1,13.6,13.8,7.3,5.9,"59,000","4,171","81,840","5,121"
2007,"1,457",100,10.9,10.8,8.3,12.7,15.6,13.3,14.3,6.9,7.1,"58,530","4,704","80,560","3,687"
2006,"1,393",100,9.5,9.1,8.5,13.2,18.4,11.9,14.9,8.8,5.9,"62,400","4,463","83,270","5,208"
2005,"1,506",100,11.5,8.3,10.5,12.4,17.6,11.8,15.9,6.0,5.9,"60,030","3,819","82,370","5,279"
2004 8,"1,517",100,9.8,9.6,7.6,13.5,18.8,13.9,15.3,5.7,5.8,"61,800","2,522","83,860","6,088"
2003,"1,407",100,8.2,11.6,9.6,12.4,17.5,14.3,16.1,5.5,4.9,"62,030",N,"79,020",N
2002,"1,243",100,11.9,9.8,8.8,13.2,18.7,12.6,13.1,6.4,5.5,"56,810",N,"81,580",N
HISPANIC (ANY RACE) 30,,,,,,,,,,,,,,,
2022,"19,320",100,9.8,8.1,8.9,12.7,18.5,13.5,14.7,6.9,6.8,"62,800","1,596","85,210","1,798"
2021,"19,230",100,10.3,7.6,9.1,13.1,17.7,12.3,15.3,6.6,7.8,"62,520","1,709","87,210","1,782"
2020 2,"18,340",100,9.2,8.7,9.0,13.5,17.8,13.1,15.1,6.5,7.0,"62,480","1,307","84,870","1,585"
2019,"17,670",100,9.1,7.7,9.3,12.8,18.8,13.0,14.9,7.0,7.3,"63,910","1,336","85,490","1,846"
2018,"17,760",100,9.7,9.5,10.1,13.5,18.2,13.3,13.7,6.2,5.9,"59,470",850,"82,000","1,871"
2017 3,"17,340",100,10.4,9.4,9.1,14.5,17.8,12.6,14.3,5.8,6.0,"59,150",894,"79,780","1,783"
2017,"17,320",100,10.1,9.4,9.1,14.4,17.3,12.8,14.7,6.3,5.9,"59,530",850,"80,560","1,676"
2016,"16,920",100,10.3,9.7,9.3,14.7,18.2,12.6,14.1,6.0,5.3,"57,200","1,334","80,170","1,595"
2015,"16,670",100,11.4,10.0,10.6,15.1,17.4,12.6,12.3,5.5,5.2,"54,650","1,225","77,000","1,667"
2014,"16,240",100,12.0,11.0,10.8,15.3,18.2,11.8,12.4,4.7,3.8,"51,400","1,027","69,590","1,305"
2013 4,"16,090",100,12.2,12.1,11.8,16.1,16.7,10.1,11.5,4.6,4.8,"48,690","2,397","70,680","3,435"
2013 5,"15,810",100,12.6,11.6,10.8,15.5,18.2,11.7,11.8,4.4,3.4,"50,250","1,114","67,040","1,487"
2012,"15,590",100,13.5,11.7,11.4,15.7,17.8,10.9,11.5,4.2,3.4,"48,430","1,091","66,330","1,426"
2011,"14,940",100,12.5,11.0,12.3,15.4,18.5,11.3,11.0,4.5,3.5,"48,880","1,139","66,260","1,237"
2010 6,"14,440",100,12.6,11.2,12.1,15.1,17.6,11.7,11.7,4.8,3.3,"49,110","1,249","67,070","1,417"
2009 7,"13,300",100,11.4,11.2,12.0,15.0,18.1,12.0,11.9,4.7,3.7,"50,320","1,092","69,090","1,247"
2008,"13,430",100,11.5,11.2,11.5,15.7,18.1,11.9,12.0,4.4,3.7,"49,950","1,053","67,950","1,157"
2007,"13,340",100,10.7,10.6,11.5,15.5,18.0,12.9,13.1,4.3,3.5,"52,830","1,168","69,420","1,202"
2006,"12,970",100,10.9,9.7,11.2,15.7,19.8,11.8,12.3,4.7,3.9,"52,930","1,164","70,850","1,337"
2005,"12,520",100,11.0,10.3,11.6,15.5,19.9,11.9,12.0,4.1,3.6,"51,850",847,"67,950","1,124"
2004 8,"12,180",100,11.4,10.7,11.5,15.8,19.7,11.6,11.7,4.3,3.3,"50,830","1,171","68,050","1,369"
2003,"11,690",100,10.7,11.5,11.4,16.1,18.8,12.0,11.8,4.2,3.5,"50,170","1,148","67,610","1,231"
2002,"11,340",100,10.7,11.1,11.0,16.4,18.2,12.8,12.1,4.5,3.3,"51,380","1,231","69,670","1,532"
2001,"10,500",100,10.1,11.3,11.3,14.9,19.8,12.0,12.9,4.5,3.3,"52,750","1,101","69,750","1,450"
2000 9,"10,030",100,10.0,10.8,10.9,15.5,19.8,13.0,12.7,4.0,3.3,"53,300","1,263","70,670","1,673"
1999 10,"9,579",100,10.4,11.9,11.4,15.9,19.0,11.8,12.5,3.9,3.1,"51,110","1,222","67,140","1,961"
1998,"9,060",100,13.2,12.3,11.2,15.2,18.8,11.8,10.8,3.9,2.9,"48,070","1,524","64,950","2,272"
